#!SbcSavedTrendFile;Version_4;Html5Runtime_V3.0;
#!SBC trends log file generated on: 19.02.2025 15:27:25;
7;
TA_SP15P2_ET1	0	5000	255,0,0;
CO_SP15P2_ET1	0	5000	0,64,0;
DBS_SP15P2_ET1	0	5000	0,0,128;
DBE_SP15P2_ET1	0	5000	128,0,128;
TA_SP15P3_ET1	0	5000	255,255,0;
CO_SP15P3_ET1	0	5000	255,128,128;
DBS_SP15P3_ET1	0	5000	0,255,0;

#!(s);Date;Time;TA_SP15P2_ET1;CO_SP15P2_ET1;DBS_SP15P2_ET1;DBE_SP15P2_ET1;TA_SP15P3_ET1;CO_SP15P3_ET1;DBS_SP15P3_ET1;
1730589892;02.11.2024;23:24:52;19.1;0;360;353;0;0;353;
1730590795;02.11.2024;23:39:55;18.6;0;346;353;0;0;360;
1730591699;02.11.2024;23:54:59;18.7;0;346;346;0;0;338;
1730592602;03.11.2024;00:10:02;19;0;346;367;0;0;353;
1730593505;03.11.2024;00:25:05;19;0;346;338;0;0;346;
1730594408;03.11.2024;00:40:08;18.8;0;338;353;0;0;346;
1730595311;03.11.2024;00:55:11;18.7;0;353;346;0;0;346;
1730596214;03.11.2024;01:10:14;18.9;0;353;360;0;0;346;
1730597118;03.11.2024;01:25:18;18.8;0;346;346;0;0;346;
1730598021;03.11.2024;01:40:21;18.8;0;353;353;0;0;346;
1730598924;03.11.2024;01:55:24;18.6;0;353;346;0;0;346;
1730599827;03.11.2024;02:10:27;18.6;0;346;338;0;0;338;
1730600730;03.11.2024;02:25:30;18.5;0;367;338;0;0;346;
1730601634;03.11.2024;02:40:34;18.7;0;346;338;0;0;353;
1730602537;03.11.2024;02:55:37;18.6;0;360;338;0;0;353;
1730603440;03.11.2024;03:10:40;18.8;0;346;338;0;0;346;
1730604343;03.11.2024;03:25:43;18.6;0;353;346;0;0;346;
1730605246;03.11.2024;03:40:46;18.7;0;346;346;0;0;346;
1730606149;03.11.2024;03:55:49;18.4;0;353;338;0;0;346;
1730607053;03.11.2024;04:10:53;18.8;0;338;360;0;0;360;
1730607956;03.11.2024;04:25:56;18.8;0;338;338;0;0;346;
1730608859;03.11.2024;04:40:59;18.8;0;353;353;0;0;353;
1730609762;03.11.2024;04:56:02;18.8;0;360;360;0;0;353;
1730610665;03.11.2024;05:11:05;18.9;0;353;338;0;0;360;
1730611568;03.11.2024;05:26:08;18.9;0;338;346;0;0;346;
1730612471;03.11.2024;05:41:11;18.8;0;338;346;0;0;346;
1730613374;03.11.2024;05:56:14;18.8;0;346;353;0;0;346;
1730614278;03.11.2024;06:11:18;18.6;0;360;367;0;0;346;
1730615181;03.11.2024;06:26:21;18.8;0;338;360;0;0;346;
1730616084;03.11.2024;06:41:24;18.6;0;360;353;0;0;346;
1730616987;03.11.2024;06:56:27;18.6;0;338;346;0;0;353;
1730617890;03.11.2024;07:11:30;18.4;0;353;353;0;0;338;
1730618793;03.11.2024;07:26:33;18.6;0;353;338;0;0;353;
1730619696;03.11.2024;07:41:36;18.5;0;360;353;0;0;353;
1730620599;03.11.2024;07:56:39;18.5;0;346;346;0;0;346;
1730621502;03.11.2024;08:11:42;18.6;0;328;360;0;0;353;
1730622406;03.11.2024;08:26:46;19.1;0;353;360;0;0;360;
1730623309;03.11.2024;08:41:49;19.1;0;338;353;0;0;346;
1730624212;03.11.2024;08:56:52;18.9;0;353;353;0;0;346;
1730625115;03.11.2024;09:11:55;18.8;0;346;331;0;0;338;
1730626018;03.11.2024;09:26:58;18.6;0;353;360;0;0;360;
1730626922;03.11.2024;09:42:02;18.6;0;353;353;0;0;346;
1730627825;03.11.2024;09:57:05;18.6;0;338;367;0;0;346;
1730628728;03.11.2024;10:12:08;18.5;0;353;346;0;0;346;
1730629631;03.11.2024;10:27:11;18.6;0;346;360;0;0;346;
1730630534;03.11.2024;10:42:14;18.5;0;331;353;0;0;338;
1730631437;03.11.2024;10:57:17;18.5;0;353;338;0;0;346;
1730632340;03.11.2024;11:12:20;18.4;0;367;346;0;0;346;
1730633244;03.11.2024;11:27:24;18.4;0;360;338;0;0;346;
1730634147;03.11.2024;11:42:27;18.8;0;346;360;0;0;353;
1730635050;03.11.2024;11:57:30;18.8;0;353;353;0;0;353;
1730635953;03.11.2024;12:12:33;18.8;0;360;346;0;0;360;
1730636856;03.11.2024;12:27:36;18.6;0;360;353;0;0;353;
1730637759;03.11.2024;12:42:39;18.9;0;346;346;0;0;360;
1730638663;03.11.2024;12:57:43;19.3;0;353;360;0;0;353;
1730639566;03.11.2024;13:12:46;19;0;360;360;0;0;353;
1730640469;03.11.2024;13:27:49;18.7;0;353;360;0;0;353;
